	trialType	Response	Attempts	RT	waterTime
0	AB	correct		64.23299980163574	2.7140002250671387
1	AB	incorrect		8.833000183105469	NA
2	AB	correct		4.726999998092651	2.302999973297119
3	AB	incorrect		2.322999954223633	NA
4	AB	correct		4.126000165939331	2.3539998531341553
5	AB	correct		1.7630000114440918	2.2829999923706055
6	AB	correct		2.193000078201294	2.11299991607666
7	AB	incorrect		3.4049999713897705	NA
8	AB	correct		2.684000015258789	2.072999954223633
9	AB	incorrect		1.241999864578247	NA
10	AB	incorrect		1.2220001220703125	NA
11	AB	incorrect		0.9710001945495605	NA
12	AB	incorrect		0.8220000267028809	NA
13	AB	correct		1.1610000133514404	2.0830001831054688
14	AB	incorrect		1.7030000686645508	NA
15	AB	correct		2.944000005722046	2.123000144958496
16	DE	correct		3.424999952316284	2.2730000019073486
17	DE	incorrect		5.236999988555908	NA
18	CA	incorrect		26.157999992370605	NA
19	CA	correct		0.5809998512268066	2.1430001258850098
20	DE	incorrect		1.9320001602172852	NA
21	DE	correct		1.1019999980926514	2.182999849319458
22	CA	incorrect		0.9919998645782471	NA
23	DE	incorrect		0.7409999370574951	NA
24	DE	correct		0.4609999656677246	2.133000135421753
25	CA	correct		0.4609999656677246	2.1629998683929443
26	DE	incorrect		0.8110001087188721	NA
27	DE	correct		0.6809999942779541	2.072999954223633
28	CA	incorrect		2.0830001831054688	NA
29	DE	incorrect		3.515000104904175	NA
30	DE	correct		1.180999994277954	2.123000144958496
31	CA	correct		1.502000093460083	2.203000068664551
32	DE	correct		1.4630000591278076	2.1629998683929443
33	CA	incorrect		2.1530001163482666	NA
34	DE	incorrect		0.9020001888275146	NA
35	CA	correct		4.506999969482422	2.2929999828338623
36	DE	incorrect		0.6710000038146973	NA
37	DE	incorrect		1.5920000076293945	NA
38	CA	incorrect		1.0810000896453857	NA
39	DE	correct		0.9909999370574951	2.1530001163482666
40	CA	correct		11.046000003814697	2.2230000495910645
41	CA	incorrect		2.373000144958496	NA
42	DE	incorrect		0.7810001373291016	NA
43	CA	incorrect		1.6419999599456787	NA
44	CA	incorrect		1.4619998931884766	NA
45	DE	correct		2.3439998626708984	2.1430001258850098
46	CA	correct		1.5520000457763672	2.203000068664551
47	CA	correct		1.5820000171661377	2.132999897003174
48	DE	correct		1.3320000171661377	2.232999801635742
49	CA	correct		0.6610000133514404	2.2029998302459717
50	CA	correct		2.7839999198913574	2.132999897003174
51	DE	incorrect		1.6530001163482666	NA
52	CA	incorrect		1.1309998035430908	NA
53	CA	incorrect		0.7109999656677246	NA
54	DE	incorrect		2.0230000019073486	NA
55	DE	incorrect		0.871999979019165	NA
56	CA	incorrect		1.121000051498413	NA
57	CA	correct		0.6510000228881836	2.24399995803833
58	DE	correct		1.5420000553131104	2.1730000972747803
59	CA	incorrect		0.3710000514984131	NA
60	CA	correct		1.1510000228881836	2.1629998683929443
61	DE	incorrect		3.384999990463257	NA
62	CA	incorrect		0.6409997940063477	NA
63	CA	correct		1.0109999179840088	2.183000087738037
64	DE	correct		0.9210000038146973	2.1529998779296875
65	CA	incorrect		1.2910001277923584	NA
66	DE	incorrect		0.9010000228881836	NA
67	CA	correct		4.186000108718872	2.263000011444092
68	DE	incorrect		3.174999952316284	NA
69	DE	correct		1.0309998989105225	2.2239999771118164
70	CA	correct		1.8020000457763672	2.2039999961853027
71	CA	incorrect		0.3810000419616699	NA
72	DE	incorrect		1.2019999027252197	NA
73	CA	correct		3.375	2.1430001258850098
74	DE	incorrect		1.8329999446868896	NA
75	DE	incorrect		0.8610000610351562	NA
76	CA	correct		0.5199999809265137	2.2839999198913574
77	DE	correct		0.5309998989105225	2.183000087738037
78	DE	incorrect		0.4309999942779541	NA
79	CA	correct		1.002000093460083	2.192999839782715
