	accuracy	average_RT	average_water_time	ITI	ISI	condition
0	na	1.7020001411437988	1.7730000019073486	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
1	na	5.8735001087188721	2.1979999542236328	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
2	na	5.1140000820159912	2.390000025431315	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
3	na	4.1235001087188721	2.3457499742507935	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
4	na	4.2542000770568844	2.3251999855041503	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
5	na	3.9806667168935141	2.359999974568685	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
6	na	3.5722857543400357	2.3504285471779958	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
7	na	3.3711250424385071	2.3282499611377716	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
8	na	3.0900000466240778	2.3209999667273626	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
9	na	2.8832000494003296	2.3221999645233153	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
10	na	2.6921818689866499	2.2986363280903208	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
11	na	2.655666708946228	2.3006666302680969	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
12	na	2.581538493816669	2.2900768793546238	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
13	na	2.5072857482092723	2.280999950000218	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
14	na	2.4076000372568767	2.2751332759857177	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
15	na	2.3416250348091125	2.2693749517202377	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
16	na	2.2604117954478546	2.2719411288990692	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
17	na	2.222222261958652	2.2703332901000977	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
