	accuracy	average_RT	average_water_time	OD	LH	ITI	ISI	condition
48	1.0	2.3658979620252336	2.2507755123839086			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
49	1.0	2.4023000049591063	2.2514400005340578			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
50	1.0	2.3705098068012909	2.2520588285782757			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
51	1.0	2.3459230798941393	2.2524615434499888			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
52	1.0	2.3383207546090179	2.2537924613592759			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
53	1.0	2.3372962960490473	2.2554629687909729			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
54	1.0	2.3554363640871916	2.2568909124894576			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
55	1.0	2.3553928605147769	2.2602321462971822			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
56	1.0	2.3367193038003489	2.2615263169271902			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
57	1.0	2.3107586276942285	2.260344825941941			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
58	1.0	2.3549322112131925	2.2615932165566139			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
59	1.0	2.3308666745821633	2.2629666606585186			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
60	1.0	2.3310655844016153	2.2655901557109397			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
61	1.0	2.3285161372153991	2.2678064453986382			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
62	1.0	2.3599047698671858	2.2704444385710216			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
63	1.0	2.3402343802154064	2.2700312435626984			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials2.txt
