	trialType	Response	RT	waterTime	Attempts
0	AB	correct	1.1010000705718994	1.8629999160766602	1.0
1	AB	correct	3.995000123977661	2.4140000343322754	3.0
2	AB	correct	3.1649999618530273	2.302999973297119	4.0
3	AB	correct	1.1519999504089355	2.384000062942505	2.0
4	AB	correct	2.623999834060669	2.4240000247955322	2.0
5	AB	correct	4.947000026702881	2.513000011444092	4.0
6	AB	correct	2.9140000343322754	2.4639999866485596	4.0
7	AB	correct	3.5850000381469727	2.442999839782715	2.0
8	AB	correct	4.91700005531311	2.513000011444092	4.0
9	AB	correct	2.442999839782715	2.3030002117156982	5.0
10	AB	correct	3.8359999656677246	2.4630000591278076	1.0
11	AB	correct	1.562999963760376	2.4630000591278076	2.0
12	AB	correct	3.815999984741211	2.3529999256134033	2.0
13	AB	correct	1.2019999027252197	2.2929999828338623	5.0
14	AB	correct	4.635999917984009	2.303999900817871	2.0
15	AB	correct	1.4719998836517334	2.2829999923706055	3.0
16	AB	correct	1.932999849319458	2.3430001735687256	1.0
17	AB	correct	3.0739998817443848	2.4230000972747803	2.0
18	AB	correct	0.7109999656677246	2.4839999675750732	2.0
19	AB	correct	1.7320001125335693	2.43399977684021	3.0
20	AB	correct	3.375	2.3529999256134033	3.0
21	AB	correct	1.1109998226165771	2.323000192642212	3.0
22	AB	correct	4.697000026702881	2.3429999351501465	4.0
23	AB	correct	4.2759997844696045	2.2730000019073486	1.0
24	AB	correct	2.203000068664551	2.3339998722076416	2.0
25	AB	correct	0.9010000228881836	2.383999824523926	2.0
26	AB	correct	2.0329999923706055	2.3630001544952393	2.0
27	AB	correct	1.5130000114440918	2.2130000591278076	2.0
28	AB	correct	2.1630001068115234	2.3429999351501465	2.0
29	AB	correct	2.7939999103546143	2.3540000915527344	2.0
30	AB	correct	1.3919999599456787	2.302999973297119	2.0
31	AB	correct	2.4230000972747803	2.2839999198913574	1.0
32	AB	correct	1.4920001029968262	2.2829999923706055	2.0
33	AB	correct	0.7009999752044678	2.2230000495910645	2.0
34	AB	correct	3.0240001678466797	2.2939999103546143	1.0
35	AB	correct	1.5720000267028809	2.374000072479248	4.0
36	AB	correct	1.5520000457763672	2.2029998302459717	2.0
37	AB	correct	0.8910000324249268	2.442999839782715	2.0
38	AB	correct	3.9059998989105225	2.3529999256134033	3.0
39	AB	correct	1.8919999599456787	2.384000062942505	2.0
40	AB	correct	1.4219999313354492	2.364000082015991	2.0
41	AB	correct	3.684999942779541	2.5940001010894775	3.0
42	AB	correct	2.753999948501587	2.4840002059936523	2.0
43	AB	correct	2.1540000438690186	2.5230000019073486	3.0
44	AB	correct	2.8339998722076416	2.4140000343322754	2.0
45	AB	correct	2.6040000915527344	2.2730000019073486	2.0
46	AB	correct	3.544999837875366	2.2829999923706055	4.0
47	AB	correct	1.2209999561309814	2.3440001010894775	5.0
48	AB	correct	3.384999990463257	2.312999963760376	3.0
49	AB	correct	3.8450000286102295	2.313999891281128	2.0
50	AB	correct	1.9820001125335693	2.5239999294281006	2.0
51	AB	correct	1.0420000553131104	2.2829999923706055	2.0
52	AB	correct	1.6729998588562012	2.443000078201294	2.0
53	AB	correct	2.8439998626708984	2.4840002059936523	4.0
54	AB	correct	1.551999807357788	2.55400013923645	2.0
55	AB	correct	1.2420001029968262	2.5230000019073486	2.0
56	AB	correct	1.7430000305175781	2.5329999923706055	2.0
57	AB	correct	1.062000036239624	2.7239999771118164	2.0
58	AB	correct	2.0329999923706055	4.395999908447266	2.0
59	AB	correct	3.2939999103546143	2.6640000343322754	2.0
60	AB	correct	1.1110000610351562	2.443999767303467	2.0
61	AB	correct	2.073000192642212	2.382999897003174	1.0
62	AB	correct	1.7929999828338623	2.4630000591278076	2.0
63	AB	correct	3.674999952316284	2.302999973297119	2.0
