	accuracy	average_RT	average_water_time	OD	LH	ITI	ISI	condition
48	1.0	2.4965918161431135	2.3568571441027584			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
49	1.0	2.5235599803924562	2.3559999990463258			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
50	1.0	2.5129411594540465	2.3592941153283213			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
51	1.0	2.4846538305282593	2.3578269206560574			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
52	1.0	2.4693396046476543	2.3594339613644584			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
53	1.0	2.4762777575740107	2.3617407436724061			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
54	1.0	2.4594727039337156	2.3652363690462979			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
55	1.0	2.4377321217741286	2.3680535767759596			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
56	1.0	2.425543839471382	2.370947373540778			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
57	1.0	2.4020344635535933	2.3770344873954512			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
58	1.0	2.3957796420081188	2.4112542402946344			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
59	1.0	2.4107499798138936	2.4154666701952618			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
60	1.0	2.3894426040962093	2.4159344258855602			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
61	1.0	2.3843386942340481	2.4154032238068117			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
62	1.0	2.3749523654816644	2.4161587291293674			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
63	1.0	2.3952656090259552	2.4143906235694885			0.0	0.0	trialOrders/AB_64_trials/AB_64_trials6.txt
