	trialType	Response	Attempts	RT	waterTime
0	AB	correct	1	11.617000102996826	2.863999843597412
1	AB	correct	1	11.315999984741211	2.6640000343322754
2	AB	correct	1	5.318000078201294	2.61299991607666
3	AB	correct	1	2.11299991607666	2.453000068664551
4	AB	correct	4	6.418999910354614	2.503999948501587
5	AB	correct	2	1.6519999504089355	2.3430001735687256
6	AB	correct	3	6.869999885559082	2.4539999961853027
7	AB	correct	1	3.876000165939331	2.4639999866485596
8	AB	correct	2	3.0440001487731934	2.434000015258789
9	AB	correct	1	0.6510000228881836	2.3529999256134033
10	AB	correct	1	0.8209998607635498	2.2829999923706055
11	AB	correct	1	1.6319999694824219	2.3339998722076416
12	AB	correct	1	4.156000137329102	2.253000020980835
13	AB	correct	1	4.457000017166138	2.302999973297119
14	AB	correct	2	0.4609999656677246	2.2730000019073486
15	AB	correct	1	4.065000057220459	2.184000015258789
16	AB	correct	1	1.491999864578247	2.2339999675750732
17	AB	correct	1	5.41700005531311	2.3540000915527344
18	AB	correct	3	1.9019999504089355	2.24399995803833
19	AB	correct	1	2.193000078201294	2.1430001258850098
20	AB	correct	3	1.3220000267028809	2.2129998207092285
21	AB	correct	1	10.384999990463257	2.11299991607666
22	AB	correct	2	0.9409999847412109	2.303999900817871
23	AB	correct	3	0.5509998798370361	2.183000087738037
24	AB	correct	1	11.196000099182129	2.2730000019073486
25	AB	correct	1	2.8939998149871826	2.2929999828338623
26	AB	correct	1	18.906999826431274	2.2730000019073486
27	AB	correct	1	7.401000022888184	2.263000011444092
28	AB	correct	2	0.9920001029968262	2.2129998207092285
29	AB	correct	1	0.9309999942779541	2.1740000247955322
30	AB	correct	1	2.2929999828338623	2.322999954223633
31	AB	correct	2	0.7609999179840088	2.2829999923706055
32	AB	correct	1	0.5910000801086426	2.1429998874664307
33	AB	correct	1	5.639000177383423	2.2730000019073486
34	AB	correct	1	2.3429999351501465	2.133000135421753
35	AB	correct	3	6.639000177383423	2.263000011444092
36	AB	correct	1	3.675999879837036	2.2930002212524414
37	AB	correct	2	1.621999979019165	2.193000078201294
38	AB	correct	1	5.6590001583099365	2.242999792098999
39	AB	correct	1	5.156999826431274	2.3440001010894775
40	AB	correct	1	3.7249999046325684	2.1730000972747803
41	AB	correct	4	0.6410000324249268	2.183000087738037
42	AB	correct	1	4.937999963760376	2.312999963760376
43	AB	correct	1	5.70799994468689	2.182999849319458
44	AB	correct	3	2.2330000400543213	2.2829999923706055
45	AB	correct	1	4.786999940872192	2.3340001106262207
46	AB	correct	3	1.883000135421753	2.322999954223633
47	AB	correct	1	3.184000015258789	2.1430001258850098
48	AB	correct	2	13.028000116348267	2.2230000495910645
49	AB	correct	1	2.0230000019073486	2.312999963760376
50	AB	correct	1	4.476999998092651	2.322999954223633
51	AB	correct	1	4.28600001335144	2.2740001678466797
52	AB	correct	1	8.651999950408936	2.2939999103546143
53	AB	correct	3	0.7710001468658447	2.2129998207092285
54	AB	correct	1	4.236000061035156	2.302999973297119
55	AB	correct	4	0.6410000324249268	2.253000020980835
56	AB	correct	6	1.192000150680542	2.382999897003174
57	AB	correct	1	3.1449999809265137	2.2330000400543213
58	AB	correct	1	4.7769999504089355	2.382999897003174
59	AB	correct	2	6.239000082015991	2.3540000915527344
60	AB	correct	1	2.8439998626708984	2.1130001544952393
61	AB	correct	1	3.555000066757202	2.2230000495910645
62	AB	correct	1	1.0120000839233398	2.2029998302459717
63	AB	correct	4	3.8259999752044678	2.2029998302459717
