	trialType	Response	RT	waterTime	Attempts
0	AB	correct	1.3919999599456787	2.4539999961853027	1.0
1	AB	correct	1.7219998836517334	2.364000082015991	9.0
2	AB	correct	2.0830001831054688	2.2929999828338623	2.0
3	AB	correct	2.7340002059936523	2.172999858856201	8.0
4	AB	correct	1.4620001316070557	2.36299991607666	2.0
5	AB	correct	4.745999813079834	2.2840001583099365	4.0
6	AB	correct	2.2730000019073486	2.2230000495910645	2.0
7	AB	correct	1.7120001316070557	2.3540000915527344	3.0
8	AB	correct	4.0259997844696045	2.203000068664551	5.0
9	AB	correct	2.2929999828338623	2.2339999675750732	3.0
10	AB	correct	1.8519999980926514	2.2730000019073486	2.0
11	AB	correct	4.726999998092651	2.232999801635742	2.0
12	AB	correct	1.8530001640319824	2.322999954223633	2.0
13	AB	correct	3.5249998569488525	2.314000129699707	2.0
14	AB	correct	1.9429998397827148	2.1630001068115234	5.0
15	AB	correct	0.5810000896453857	2.2730000019073486	2.0
16	AB	correct	1.4320001602172852	2.243000030517578	4.0
17	AB	correct	3.555000066757202	2.1029999256134033	1.0
18	AB	correct	1.241999864578247	2.322999954223633	2.0
19	AB	correct	0.7709999084472656	2.1130001544952393	4.0
20	AB	correct	0.8110001087188721	2.0929999351501465	4.0
21	AB	correct	1.4620001316070557	2.1529998779296875	4.0
22	AB	correct	3.194999933242798	2.2230000495910645	5.0
23	AB	correct	4.677000045776367	2.2330000400543213	1.0
24	AB	correct	4.00600004196167	2.302999973297119	2.0
25	AB	correct	1.5720000267028809	2.3340001106262207	3.0
26	AB	correct	0.5810000896453857	2.232999801635742	5.0
27	AB	correct	1.0920000076293945	2.2929999828338623	2.0
28	AB	correct	0.9920001029968262	2.2730000019073486	3.0
29	AB	correct	4.166000127792358	2.172999858856201	1.0
30	AB	correct	1.001999855041504	2.312999963760376	2.0
31	AB	correct	1.0410001277923584	2.2939999103546143	2.0
32	AB	correct	0.931999921798706	2.1130001544952393	4.0
33	AB	correct	1.8420000076293945	2.2330000400543213	3.0
34	AB	correct	1.0520000457763672	2.2129998207092285	2.0
35	AB	correct	4.706999778747559	2.263000011444092	3.0
36	AB	correct	1.3919999599456787	2.1529998779296875	2.0
37	AB	correct	4.236000061035156	2.4539999961853027	2.0
38	AB	correct	4.105999946594238	2.172999858856201	2.0
39	AB	correct	1.5929999351501465	2.243000030517578	2.0
40	AB	correct	4.796000003814697	2.2940001487731934	1.0
41	AB	correct	0.8519999980926514	2.253000020980835	3.0
42	AB	correct	3.7660000324249268	2.263000011444092	3.0
43	AB	correct	3.8959999084472656	2.193000078201294	4.0
44	AB	correct	4.1559998989105225	2.3430001735687256	1.0
45	AB	correct	2.253000020980835	2.2130000591278076	3.0
46	AB	correct	1.5820000171661377	2.2739999294281006	2.0
47	AB	correct	1.7030000686645508	2.2330000400543213	3.0
48	AB	correct	2.5439999103546143	2.1530001163482666	4.0
49	AB	correct	4.186000108718872	2.2839999198913574	2.0
50	AB	correct	0.7809998989105225	2.2830002307891846	4.0
51	AB	correct	1.0920000076293945	2.2730000019073486	9.0
52	AB	correct	1.9429998397827148	2.323000192642212	2.0
53	AB	correct	2.2829999923706055	2.3439998626708984	2.0
54	AB	correct	3.3350000381469727	2.3339998722076416	3.0
55	AB	correct	2.3530001640319824	2.444000005722046	2.0
56	AB	correct	1.2910001277923584	2.3339998722076416	5.0
57	AB	correct	0.8310000896453857	2.192999839782715	4.0
58	AB	correct	4.91700005531311	2.3339998722076416	3.0
59	AB	correct	0.9110000133514404	2.3439998626708984	2.0
60	AB	correct	2.3430001735687256	2.422999858856201	2.0
61	AB	correct	2.172999858856201	2.4030001163482666	1.0
62	AB	correct	4.305999994277954	2.434000015258789	2.0
63	AB	correct	1.1009998321533203	2.24399995803833	3.0
