	trialType	Response	Attempts	RT	waterTime
0	AB	correct	1	1.692000150680542	2.062999963760376
1	AB	correct	1	12.588000059127808	5.537999868392944
2	AB	correct	1	1.2720000743865967	2.7639999389648438
3	AB	correct	1	1.4620001316070557	2.7239999771118164
4	AB	correct	1	15.041000127792358	2.5839998722076416
5	AB	correct	1	6.650000095367432	2.443000078201294
6	AB	incorrect	1	1.5529999732971191	NA
7	AB	correct	1	16.914999961853027	2.2929999828338623
8	AB	correct	1	3.2850000858306885	2.453000068664551
9	AB	incorrect	1	1.1019999980926514	NA
10	AB	correct	1	1.562000036239624	2.372999906539917
11	AB	correct	1	1.3420000076293945	2.253999948501587
12	AB	correct	1	4.687000036239624	2.7840001583099365
13	AB	incorrect	1	1.191999912261963	NA
14	AB	incorrect	1	0.750999927520752	NA
15	AB	incorrect	1	2.1030001640319824	NA
16	AB	incorrect	1	0.6610000133514404	NA
17	AB	correct	1	2.2839999198913574	2.193000078201294
18	AB	incorrect	1	1.4820001125335693	NA
19	AB	correct	1	5.41700005531311	2.2239999771118164
20	AB	incorrect	1	2.122999906539917	NA
21	AB	incorrect	1	0.8009998798370361	NA
22	AB	correct	1	1.0320000648498535	2.203000068664551
23	AB	correct	1	1.2920000553131104	2.2730000019073486
24	AB	correct	1	0.5409998893737793	2.0320000648498535
25	AB	correct	1	0.5500001907348633	2.2139999866485596
26	AB	correct	1	0.6909999847412109	2.193000078201294
27	AB	incorrect	1	1.2410001754760742	NA
28	AB	correct	1	3.254999876022339	2.3530001640319824
29	AB	correct	1	0.8220000267028809	2.2130000591278076
30	AB	correct	1	2.2730000019073486	2.052999973297119
31	AB	incorrect	1	0.5309998989105225	NA
32	AB	incorrect	1	1.3919999599456787	NA
33	AB	incorrect	1	1.0820000171661377	NA
34	AB	correct	1	2.813999891281128	2.183000087738037
35	AB	correct	1	0.5800001621246338	2.1629998683929443
36	AB	correct	1	3.615000009536743	2.0929999351501465
37	AB	correct	1	1.4820001125335693	2.1429998874664307
38	AB	incorrect	1	0.8819999694824219	NA
39	AB	correct	1	1.3220000267028809	2.2730000019073486
40	AB	correct	1	2.6439998149871826	2.203000068664551
41	AB	incorrect	1	0.6210000514984131	NA
42	AB	correct	1	2.183000087738037	2.243000030517578
43	AB	correct	1	1.7819998264312744	2.1530001163482666
44	AB	incorrect	1	1.1719999313354492	NA
45	AB	correct	1	0.9620001316070557	2.172999858856201
46	AB	correct	1	1.071000099182129	1.9930000305175781
47	AB	correct	1	3.0239999294281006	2.2340002059936523
48	AB	correct	1	2.253000020980835	2.122999906539917
49	AB	incorrect	1	0.48000001907348633	NA
50	AB	correct	1	1.8629999160766602	2.132999897003174
51	AB	correct	1	0.5809998512268066	1.933000087738037
52	AB	correct	1	1.6730000972747803	2.11299991607666
53	AB	correct	1	0.5710000991821289	2.1429998874664307
54	AB	incorrect	1	1.0309998989105225	NA
55	AB	incorrect	1	0.8510000705718994	NA
56	AB	correct	1	2.132999897003174	2.2730000019073486
57	AB	correct	1	2.192999839782715	2.2130000591278076
58	AB	correct	1	2.242999792098999	1.9730000495910645
59	AB	incorrect	1	0.8910000324249268	NA
60	AB	correct	1	7.490999937057495	2.2230000495910645
61	AB	correct	1	10.59500002861023	2.1740000247955322
62	AB	incorrect	1	1.2720000743865967	NA
63	AB	correct	1	3.995999813079834	2.073000192642212
