	trialType	Response	Attempts	RT	waterTime
0	AB	correct	1	78.16199994087219	2.4740002155303955
1	AB	correct	1	4.82699990272522	2.2829999923706055
2	AB	correct	1	11.305999994277954	2.4029998779296875
3	AB	incorrect	1	3.3450000286102295	NA
4	AB	correct	1	3.315000057220459	2.372999906539917
5	AB	correct	1	4.766999959945679	2.3530001640319824
6	AB	correct	1	2.0230000019073486	2.193000078201294
7	AB	correct	1	2.1029999256134033	2.312999963760376
8	AB	incorrect	1	1.5829999446868896	NA
9	AB	correct	1	1.8529999256134033	2.432999849319458
10	AB	correct	1	0.8009998798370361	2.373000144958496
11	AB	correct	1	8.592000007629395	2.322999954223633
12	AB	incorrect	1	0.8510000705718994	NA
13	AB	correct	1	7.871000051498413	2.122999906539917
14	AB	correct	1	4.03600001335144	2.3030002117156982
15	AB	correct	1	6.289000034332275	2.4739999771118164
16	AB	incorrect	1	0.8610000610351562	NA
17	AB	correct	1	54.85899996757507	2.263000011444092
18	AB	incorrect	1	4.806999921798706	NA
19	AB	incorrect	1	0.751000165939331	NA
20	AB	correct	1	1.6630001068115234	2.132999897003174
21	AB	incorrect	1	1.9729998111724854	NA
22	AB	incorrect	1	2.6630001068115234	NA
23	AB	correct	1	1.9729998111724854	2.193000078201294
24	AB	correct	1	1.6720001697540283	2.1740000247955322
25	AB	incorrect	1	4.577000141143799	NA
26	AB	correct	1	0.6200001239776611	2.3339998722076416
27	AB	correct	1	3.8959999084472656	2.203000068664551
28	AB	incorrect	1	0.5699999332427979	NA
29	AB	correct	1	0.9819998741149902	2.1030001640319824
30	AB	incorrect	1	2.001999855041504	NA
31	AB	correct	1	0.43000006675720215	2.1440000534057617
32	AB	correct	1	2.503000020980835	2.122999906539917
33	AB	correct	1	3.2839999198913574	2.2339999675750732
34	AB	correct	1	0.4099998474121094	2.30400013923645
35	AB	incorrect	1	1.562000036239624	NA
36	AB	incorrect	1	1.000999927520752	NA
37	AB	correct	1	1.752000093460083	2.2829999923706055
38	AB	correct	1	3.1640000343322754	2.3239998817443848
39	AB	correct	1	4.846999883651733	2.1630001068115234
40	AB	correct	1	3.6650002002716064	2.313999891281128
41	AB	correct	1	2.3540000915527344	2.2230000495910645
42	AB	incorrect	1	1.501999855041504	NA
43	AB	correct	1	0.8910000324249268	2.2139999866485596
44	AB	correct	1	1.8819999694824219	2.2339999675750732
45	AB	incorrect	1	2.383000135421753	NA
46	AB	correct	1	0.5810000896453857	2.172999858856201
47	AB	correct	1	0.4309999942779541	2.2230000495910645
48	AB	correct	1	0.7109999656677246	2.243000030517578
49	AB	correct	1	2.6730000972747803	2.2839999198913574
50	AB	correct	1	5.687999963760376	2.123000144958496
51	AB	correct	1	0.8410000801086426	2.203000068664551
52	AB	correct	1	2.7639999389648438	2.183000087738037
53	AB	correct	1	0.8209998607635498	2.4240000247955322
54	AB	incorrect	1	0.5310001373291016	NA
55	AB	correct	1	5.417999982833862	2.263000011444092
56	AB	correct	1	2.0530002117156982	2.313999891281128
57	AB	correct	1	1.5319998264312744	2.183000087738037
58	AB	correct	1	2.062999963760376	2.314000129699707
59	AB	incorrect	1	2.2730000019073486	NA
60	AB	correct	1	2.7739999294281006	2.2330000400543213
61	AB	correct	1	2.263000011444092	2.3339998722076416
62	AB	correct	1	0.6909999847412109	2.4040000438690186
63	AB	incorrect	1	4.746999979019165	NA
